config_sequence,performance_ratio,score
"[1, 0, 0, 0, 117320, 572, 552, 4634, 1, 1228, 3328]",1.1543893216709944,25340.0
"[0, 0, 0, 0, 77829, 912, 387, 3871, 5, 787, 6498]",0.32727438385494967,7184.0
"[1, 0, 1, 0, 68910, 550, 704, 2267, 0, 657, 2485]",1.0033711448225593,22025.0
"[1, 0, 1, 1, 95618, 809, 696, 1736, 1, 534, 4748]",1.157760466493554,25414.0
"[1, 1, 1, 0, 40197, 914, 770, 5146, 8, 794, 5476]",0.8658831032754772,19007.0
"[1, 0, 1, 0, 63185, 278, 508, 5932, 6, 1103, 7223]",0.992756594232609,21792.0
"[0, 0, 0, 1, 98222, 507, 689, 4261, 2, 1172, 3086]",0.36859368593685937,8091.0
"[0, 1, 1, 1, 60018, 434, 594, 5078, 7, 1904, 2260]",0.3764748758598697,8264.0
"[0, 0, 1, 1, 51248, 794, 414, 2794, 3, 946, 5814]",0.4552867750899731,9994.0
"[1, 1, 0, 1, 87922, 580, 757, 2192, 7, 990, 2259]",1.009976766434331,22170.0
"[1, 0, 1, 1, 43902, 425, 646, 3476, 3, 1655, 3043]",1.4190697462530182,31150.0
"[1, 1, 0, 0, 93866, 410, 790, 1605, 6, 1966, 5904]",0.8381850485171518,18399.0
"[1, 1, 0, 0, 101154, 563, 551, 2892, 1, 1390, 5829]",0.8475240307958635,18604.0
"[0, 1, 1, 0, 37974, 735, 474, 2630, 1, 878, 4848]",0.4133296888524441,9073.0
"[0, 0, 0, 0, 39673, 606, 338, 5878, 5, 1338, 4742]",0.34495011616782834,7572.0
"[0, 1, 1, 1, 112777, 880, 460, 5514, 5, 1525, 6236]",0.3767937679376794,8271.0
"[0, 0, 1, 1, 84284, 409, 729, 3860, 0, 644, 6143]",0.37023370233702335,8127.0
"[0, 0, 0, 0, 74019, 268, 595, 4705, 8, 1217, 6704]",0.3248599152658193,7131.0
